comment,cleaned_comment
Saya buruh swasta memang agak acak2an sih pengeluaran..Gaji 14-15 jt.. 8 jt buat only fans dan jajan michat.. 2 jt rokok.. 2 jt jajan.. 2-3 jt dikasih istri ..Kalo ada thr& bonus akhir tahun buat slot 😅,buruh swasta memang agak acak sih keluar buat only fans dan jajan michat rokok jajan kasih istri thr bonus akhir tahun buat slot
"Bang keren banget analisa dan pembahasannya , gw suka cara penyampaian informasinya",keren banget analisa dan bahas suka cara sampai informasi
Untungnya aku tidak.aku nonton nya sih kaya F1 sama lemans gitu sih entah kenapa konten seksual gitu kaya aneh aja sih di otak ku kaya kok bisa ada orang kaya gini kaya GK ada harga diri nya,aku tidakaku nonton nya sih kaya sama lemans gitu sih entah kenapa konten seksual gitu kaya aneh aja sih otak kaya kok bisa orang kaya gin kaya harga diri nya
Mungkin Mereka Lebih Suka Onani ketimbang berpikir ✌️😅,ketimbang pikir
Bener.. modal joget uda banyak viewersnya.. nah gue bikin konten harus cari berita editing dll sepi hahaha,modal joget uda banyak viewersnya nah gue bikin konten harus cari berita editing dll sepi hahaha
Sedang mencari komentar yg kebakaran jenggot. Tp kyknya viewers2nya udh pada well educated semua ni,cari komentar bakar jenggot kyknya viewersnya udh pada well educated semua
gw anggep konten'kek gitu misal joget'pamer bagian tubuh gw ngangeep nya pembodohann bg jdi ya gw gk suka aja gt nonton nyaa,anggep kontenkek gitu misal jogetpamer bagi tubuh ngangeep nya pembodohann jdi suka aja nonton nyaa
"Gw setuju bang tapi gak berani speak up ke kawan gua soalnya pernah speak up eh malah ""munafik lu,hidup gausah kaku kaku amat"" jir lah wkwk",tuju bang tapi gak berani speak kawan gua soal pernah speak malah munafik luhidup gausah kaku kaku amat jir lah wkwk
tapi sys lihatnya konten berbau erotis itu malah menjijikkan.,tapi sys lihat konten bau erotis itu malah jijik
"Sy penyuka konten pertanian, pternakan, perikanan, saham, olah raga, musik, 1tahun diunggah cm ditonton ga sampe 1000 kali, tp konten seksi 1hari diunggah sdh ditonton puluhan ribu,, yg sy sebel, itu selalu muncul terus diberanda,, yaa ga apa2 sih hiburan gratis😂😂😂",suka konten tani pternakan ikan saham olah raga musik tahun unggah tonton sampe kali konten seksi hari unggah sdh tonton puluh ribu sebel itu selalu muncul terus beranda yaa apa sih hibur gratis
"Dilemma dari social media bang. Kita lagi masuk di fase trial and error sih menurut ku kalo disaat² kayak gini. Masalah kayak gini amat sangat kompleks sih bang di masyarakat kita. Tapi salut sih abang mau ngangkat konten seputar ini. Respect bang, semangat terus bang. Jangan mau nyerah sama situasi saat ini, termasuk kita semua 🔥🔥",dari social media bang lagi masuk fase trial and error sih turut kalo saat kayak gin kayak gin amat sangat kompleks sih bang masyarakat kita salut sih abang mau ngangkat konten putar ini bang semangat terus bang mau nyerah sama situasi saat ini masuk kita semua
"dari dulu masih setia nunggu upload nya video dari channel rumah editor, sekarang ada pengisi waktu gw pas nunggu itu ya di channel ini😅",dari dulu masih setia nunggu upload nya video dari channel rumah editor sekarang isi waktu pas nunggu itu channel ini
Bukan peminat tiktok boleh tekan button liked disini😅,minat tiktok boleh tekan button liked sini
"aneh ya bang?, namanya juga dunia",aneh bang nama juga dunia
tamparan keras,tampar keras
Konten 18+ laku keras di usia puber,laku keras usia puber
Lnjut kn edukasi ny bg 🔥🔥☝️,edukasi
"""Buah busuk jangan dimakan, makanlah buah yg baik""",busuk jangan makan makan buah baik
ini tentang bagaimana manusia memaknai hidup dan beragama yang benar,ini tentang bagaimana manusia makna hidup dan agama yang benar
"I love you 😎bro
Maksudnya saya suka konten lu",love you bro saya suka konten
"Keren bang, berani speak up",bang berani speak
"Ga cmn Tiktok tp youtube kl yg sering Lo tonton edukasi insya Alloh berguna app-nya, referensi lo isinya ya ttg edukasi entah itu akademi atau vokasi",cmn youtube sering tonton edukasi insya guna appnya referensi isi ttg edukasi entah itu akademi atau vokasi
"mereka ga ngarepin endorse, mereka berharap jualan badan mereka laku, terus ada yang dm buat ngajak ""kencan"" total. wkwkwk",mereka ngarepin endorse mereka harap jual badan mereka laku terus yang buat ngajak kencan total wkwkwk
Kalian harus menerima fakta bahwa jumlah manusia yang membutuhkan edukasi itu cuma sedikit.. sedangkan yang butuh kepuasan seksual itu banyak.. Jadi terima saja fakta tersebut... Itu fakta dan keadaan manusia yang sudah dinubuatkan oleh semua kitab suci..,harus terima fakta bahwa jumlah manusia yang butuh edukasi itu cuma sedikit sedang yang butuh puas seksual itu banyak terima saja fakta sebut fakta dan ada manusia yang sudah nubuat oleh semua kitab suci
Keren banget broo,banget broo
banyak yang sok sokan open minded buat nandingin perkembangan zaman padahal yang di ambil dari open mindednya itu cuman dapet sangenya doang,banyak yang sok sok open minded buat nandingin kembang zaman padahal yang ambil dari open mindednya itu cuman dapet sangenya doang
"MIRIS, PINTAR"" DAN BIJAK LAH DALAM MENGGUNAKAN (SOSIAL MEDIA)",miris pintar dan bijak lah dalam guna sosial media
"konten edukatif kalah sama konten seksual....
kreator: mending buat konten edukatif yg membahas tentang konten seksual. pasti populer.",konten edukatif kalah sama konten seksual kreator mending buat konten edukatif bahas tentang konten seksual pasti populer
"Thanks ngap, sangat bermanfaat buat gua yang lagi rebuilding hidup gua sendiri",ngap sangat manfaat buat gua yang lagi rebuilding hidup gua sendiri
"Wahh, konten bahaya nihh... Nanti ada yg komen ""emang laki-laki nya aja yang mata keranjang"" gimana coba? 😱😱😱😱😱😱",konten bahaya nihh komen emang lakilaki nya aja yang mata keranjang gimana coba
This is a good content tbh,good content tbh
"Disini semoga orang"" Yg sehtt",moga orang sehtt
Mayoritas masyarakat indo itu sdm dan sagne an😂,masyarakat indo itu sdm dan sagne
Akhirnya ada yg bahas 🗿🚬☕,bahas
😢miris emang wanita jaman sekarang mah belum kalo di tweet banyak skrng,miris emang wanita jaman sekarang mah belum kalo tweet banyak skrng
Keren bgt  bg gw suka sekali Ama video mu bg aku share ke teman-teman yak 😊,bgt suka sekali video aku share temanteman yak
"Pas duit tak dilihat, penampilan mu adalah asset mu. Berinvestasi lah dgn baik 😌👍 Hidup enak kok kl muka enak dilihat.",duit tak lihat tampil adalah asset lah dgn baik enak kok muka enak lihat
Sex sells,sells
Sudah ada semenjak zaman youtubenya bayu skak. Banyak konten click bait yang bersifat 4no itu laris manis,semenjak zaman youtubenya bayu skak konten click bait yang sifat itu laris manis
auto subscribe 🤝🏻,auto subscribe
"Kenapa cewe itu lebih pd atau gk ada malu. 
Karena cewe itu rasa malu nya sedikit dibanding cowo, mungkin contohnya saat disekolah, kita itu banyak bgt melihat  cewe berprestasi dan tidak malu saat maju kedepan kerumunan manusia, walaupun itu pertama kalinya. Klo cowo sbalikny, malahan pas maju ke depan kerumunan malu nya aduhai bikin geter sama kringat dingin. Kepala sekolahku aj ampe bingung knp bnyakan ceweny yg calonin mpk dan osis dibanding cowo",cewe itu lebih atau malu cewe itu rasa malu nya sedikit banding cowo mungkin contoh saat seko kita itu banyak bgt lihat cewe prestasi dan tidak malu saat maju depan kerumun manusia walaupun itu pertama kali cowo sbalikny malah pas maju depan kerumun malu nya aduhai bikin geter sama kringat dingin sekolah ampe bingung knp bnyakan ceweny calonin mpk dan osis banding cowo
Akhirnya negara jiran ku mebahas isu konten-konten berunsur seksual. Keep it up. 👍🏻,negara jiran mebahas isu kontenkonten unsur seksual
Neuron activating,activating
"indonesia butuh generasi kayak situ dek, kami dari kelahiran 80-90 bergantung pada kalian...
jangan berhenti bikin konten positif 👍👍👍",indonesia butuh generasi kayak situ dek kami dari lahir gantung pada kalian jangan henti bikin konten positif
Gk heran sih namnya juga akhir zaman,heran sih namnya juga akhir zaman
untungnya gak install tiktok atau X,untung gak install tiktok atau
Iya loch😢😢 maka doalah yamukollibalqulub tsabbit qolbii alla dinik Karana hati manusia itu mudah terbolak balik maka tetapkanlah hatiku ini pada agamamu ya roob semoga para kaum muslim bisa menghadapi tantangan globalisasi menurut ku sih punten kalau salah Ucap🙏,loch maka doa yamukollibalqulub tsabbit qolbii alla nik hati manusia itu mudah bolak balik maka tetap hati ini pada agama roob moga para kaum muslim bisa hadap tantang globalisasi turut sih punten kalau salah
"Sangat berbeda dri Aktris JAV atau setidaknya PSK lah.
Kebanyakan mereka krn Broken Home dan Financial.
Lha skrng Ngonten begituan hnya krn Followers 😀yg notabene latar belakang mereka normal2 saja malah bisa dibilang kecukupan😂
Bisa dibilang lebih rendah dri Pelacuran sih...",beda dri jav atau tidak psk lah mereka krn dan skrng begitu hnya krn notabene latar belakang mereka normal saja malah bisa bilang cukup bilang lebih rendah dri sih
"Cuma klik video cewe joget sekali, Algoritma TT langsung berubah. Jay banget dah...",klik video cewe joget sekali langsung ubah banget dah
subhanallah,subhanallah
"terima kasih sudah disensor cuplikan kontennya, agar ga merusak mata dan otak",terima kasih sudah sensor cuplik konten agar rusak mata dan otak
Penjelasan teoritis nya dapat disingkat menjadi manusia punya syahwat.. nafsu.. definisi dan pengaruhnya ya seperti dijelaskan mimin,teoritis nya dapat singkat jadi manusia punya syahwat nafsu definisi dan pengaruh seperti jelas mimin
"Perbanyak istighfar 
Bukan follower",istighfar follower
"mana iya lagi, aga miris tadi ketemu orang proyek yang pas istirahat malah ngeslot
daripada buat ngeslot mending buat beli makan kan yak, ngebelain ga makan demi wd 😐",mana iya lagi aga miris tadi ketemu orang proyek yang pas istirahat malah ngeslot daripada buat ngeslot mending buat beli makan kan yak ngebelain makan demi
sekarang kita lebih gampang ngeliat tete dibanding kupu kupu,sekarang kita lebih gampang ngeliat tete banding kupu kupu
Alhamdulillah saya masih senang sekali liat konten-konten yang bisa menambah wawasan saya tentang dunia ini.,saya masih senang sekali liat kontenkonten yang bisa tambah wawas saya tentang dunia ini
auto subss,auto subss
Sosmed saya lebih banyak foto video kuda lewat,saya lebih banyak foto video kuda lewat
"Itulah gambaran 58% warga Indonesia. terpengaruh influencer dari sosmed, pengen gratisan dengan makan siang gratis.",gambar warga pengaruh influencer dari sosmed ken gratis dengan makan siang gratis
karirnya ke popular magazine sama toko handphone bali wkwkwk,karirnya popular magazine sama toko handphone bal wkwkwk
"keren pembahasannya asli bang, semoga channelnya makin berkembang",keren bahas asli bang moga channelnya makin kembang
Bang nonton konten motoran kek mana,nonton konten motor kek mana
Jilboobs semua gambar nya bang,semua gambar nya bang
Izin share,share
"Sangat mewakili, people nowadays need crazy attention. keep going kontennya gan",wakil people nowadays need crazy attention keep going konten gan
"kok sepi bgt yah komennya??
oh iyaa kan ""KEBANJIRAN FAKTA""😂😂😂😂",kok sepi bgt yah komennya iyaa kan banjir fakta
"COK.... UREP, KERJO WES KESEL SEK KON NYERNA EDUKASI..?
SELANCAR DUNIA MAYA YO GOLEK HIBURAN GO REFRESH UTEK., SENG EDUKASI WESS WONG UREP PENAK, ORA NGERASAKNE SUSAH..",cok urep kerjo wes kesel sek kon nyerna edukasi selancar dunia maya golek hibur refresh utek seng edukasi wess wong urep penak ora ngerasakne susah
semangat terus bikin konten edukasinya kak,semangat terus bikin konten edukasi kak
Siapa yang masih belum pernah install tiktok,yang masih belum pernah install tiktok
"Konten ini cukup informatif & edukatif ttg penyalahgunaan teknologi digital & social media! Kayaknya sih pendapat gue, cewek2 yg buat konten2 erotis ujung2nya jadi online prostitue 😂😅 atau bisa mimpi jadi Nikita Mirzani yg menjual sensasi",ini cukup informatif edukatif ttg penyalahgunaan teknologi digital social media sih dapat gue cewek buat konten erotis ujung jadi online prostitue atau bisa mimpi jadi jual sensasi
semngat bang km terbaik,semngat bang baik
"Riset gw, ini termasuk kedalam dasar untuk 2035 Indonesia liberal. Sex bebas + homo udah biasa",ini masuk dalam dasar untuk liberal bebas homo udah biasa
sosiolog ini,sosiolog ini
teruskan konten insight nya bangg!,terus konten insight nya bangg
Barang bagus bang 👍😍😍😍😘😤😆😂😂,bagus bang
Apa yang saudara sampaikan sangatah tepat. Kini penyebaran konten berbau erotis sudah tak terbendung lagi. Adanya saudara sebagai penyeimbang tersebarnya konten tak bermanfaat seperti itu. Konten saudara sangatlah membantu menyebarkan kewaspadaan & wawasan baru untuk kawula muda.,yang saudara sampai sanga tepat sebar konten bau erotis sudah tak bendung lagi saudara bagai imbang sebar konten tak manfaat seperti itu saudara sangat bantu sebar waspada wawas baru untuk kawula muda
wahhh setuju bang gua emg skrg lgi posisi berubah dalam sudahi film porno memang kerasa banget bang lo bosen atau hal kosong di otak lo ya cmn hal porno gtu si tpi yaa termasuk kemauan dari diri sendiri lgi aaja sih bang btw thanks bang konten nya bermanfaat,wahh tuju bang gua emg skrg lgi posisi ubah dalam sudah film porno memang rasa banget bang bosen atau hal kosong otak cmn hal porno gtu tpi yaa masuk mau dari diri sendiri lgi aaja sih bang btw thanks bang konten nya manfaat
"Banyak rintangan yang dilalui para kreator konten edukasi. Konten sains aja banyak yg bilang Hoax karena gak masuk di akal mereka, bahkan sampe dibilang antek-antek barat dan dikontradiksikan dengan agama gegara tema nya sains. Giliran konten dewasa pada bersatu. Memang betul kata Guru Gembul",rintang yang lalu para kreator konten edukasi sains aja banyak bilang karena gak masuk akal mereka bahkan sampe bilang antekantek barat dan kontradiksi dengan agama gegara tema nya sains konten dewasa pada satu betul kata
mahkotamu sedang dilas king.......,mahkota sedang las king
"itu kenapa harusnya sama smaa kerja sama , bisa direport org begitu ya mau gimana? kalian jg suka kok",itu kenapa harus sama smaa kerja sama bisa direport org begitu mau gimana kalian suka kok
Terkhri main tiktok pas 2020,main tiktok pas
Semangat terus bikin konten edukasinya bang ,terus bikin konten edukasi bang
"guru (ustadz) gw pernah bilang.. 
di daerah sini (malang), dimana sangat banyak pendatang setiap tahunnya (mahasiswa baru), para ustadz seyogyanya sedang berperang dengan pasukan iblis dalam mempengaruhi manusia (pemuda/i) 
kelak mereka akan kembali ke daerahnya dengan pribadi yang lebih baik atau pribadi yang 'liar'. 

sama aja sih dimana2.. memang konten2 atau tema2 yg ""ena2"" lebih dimininati. apalagi jika itu softporn.. 
orang gak ngerasa dia melanggar norma sosial/agama dengan dia melihat sesuatu yg bukan adegan porno asli. dan ini lebih bahaya sih.. karna waktu yg dihabiskan cenderung akan lebih banyak dan akan merubah pola hidup, produktifitas, dan kesehatan mental dia.",guru ustadz pernah bilang daerah sini malang mana sangat banyak datang tiap tahun mahasiswa baru para ustadz seyogyanya sedang perang dengan pasu iblis dalam pengaruh manusia pemuda kelak mereka akan kembali daerah dengan pribadi yang lebih baik atau pribadi yang liar sama aja sih mana memang konten atau tema ena lebih mati apalagi jika itu softporn orang gak ngerasa dia langgar norma sosialagama dengan dia lihat sesuatu bukan adegan porno asli dan ini lebih bahaya sih karna waktu habis cenderung akan lebih banyak dan akan rubah pola hidup produktifitas dan sehat mental dia
"lanjut bang, mantap",lanjut bang mantap
"YANG CEWEK2 KEJAR ITU BUKAN KARIR, TP KEPUASAN DIRI!
MEREKA MERASA PUAS MERASA JD SOMETHING KETIKA MENJADI PUSAT PERHATIAN & PUNYA PENGIKUT RIBUAN, G PEDULI SIAPAPUN LAKI2 YG MERHATIINNYA!
EMANG G SEMUA CEWEK INDO BEGITU, TAPI FAKTANYA MAKIN KESINI MAKIN BANYAK YG BERMENTAL P3REK KYK GITU!",yang cewek kejar itu bukan karir puas diri mereka rasa puas rasa something ketika jadi pusat perhati punya ikut ribu peduli siapa laki merhatiinnya emang semua cewek indo begitu tapi fakta makin kesini makin banyak mental prek kyk gitu
"yang bikin males itu di tiktok kalau lu nyari sesuatu, pasti ada aja konten seksual yang keluar walaupun yang di cari enggak ada bau bau  seksualnya sama sekali",yang bikin males itu tiktok kalau nyari sesuatu pasti aja konten seksual yang keluar walaupun yang cari enggak bau bau seksual sama sekali
"Kabarnya di china sana, algoritma yang diboost di tiktok mereka adlah konten-konten edukasi. kalau pemerintah memang peduli sama generasi mudanya, bisa aja sebenernya di setting seperti itu juga. kesannya kayak ""dikit-dikit nyalahin pemerintah"" gitu ya? tapi memang faktanya pemerintah punya power untuk itu. bahkan kalau di seret ke teori konspirasi, yaa mereka penyedia sosmed itu juga punya agenda bikin negara lain ga maju-maju, ya dengan ngeboost konten entertain ketimbang edukasi. selain karna rakyat kita memang lebih suka konten entertain sejak dulu kek sinetron, gosip di tv. jadi yaa bisa dibilang indonesia adalah negara yang sangat empuk buat di bodohkan.",china sana algoritma yang diboost tiktok mereka adlah kontenkonten edukasi kalau perintah memang peduli sama generasi muda bisa aja sebenernya setting seperti itu juga kesan kayak dikitdikit nyalahin perintah gitu tapi memang fakta perintah punya power untuk itu bahkan kalau seret teori konspirasi yaa mereka sedia sosmed itu juga punya agenda bikin negara lain majumaju dengan ngeboost konten entertain ketimbang edukasi selain karna rakyat kita memang lebih suka konten entertain sejak dulu kek sinetron gosip jadi yaa bisa bilang indonesia adalah negara yang sangat empuk buat bodoh
Gua subs lu bang karena isi kepala kita sama,subs bang karena isi kepala kita sama
"tadi malem aku baca tentang neuron, pengaturan emosi, tentang amygdala, segala macam di otak. ternyata ketemu ini.",tadi malem aku baca tentang neuron atur emosi tentang amygdala segala macam otak nyata ketemu ini
"Udah lama pernah nonton video Elly Risman, pornografi merusak otak sama seperti benturan kecelakaan mobil, bedanya luka kecelakaan terlihat sedangkan kerusakan akibat pornografi tidak…

Berkaitan sama berita perkosaan akibat nonton video porno, makanya saya suka sebel kalo ada yg bilang influencer erotis == pemersatu bangsa, atau “kalo (polisi) nangkep pelaku/penyebar pornografi aja cepet”, atau “pornografi aja diurusin (diblokir)”, 

padahal ya itu semua juga penting…",lama pernah nonton video pornografi rusak otak sama seperti bentur celaka mobil beda luka celaka lihat sedang rusa akibat pornografi tidak sama berita perkosa akibat nonton video porno makanya saya suka sebel kalo bilang influencer erotis satu bangsa atau kalo polisi nangkep pelakupenyebar pornografi aja cepet atau pornografi aja diurusin blokir padahal itu semua juga penting
Bersyukur ga pernah download tiktok dari awal rilis,pernah download tiktok dari awal rilis
pantesan sampe di buat akun khusus yang namanya Fufufafa,pantesan sampe buat akun khusus yang nama
"Dunia semakin tua, semoga Allah melindungi kita",makin tua moga lindung kita
lanjut bang buat kebaikan generasi ke depan agar lebih baik dan manfaat,lanjut bang buat baik generasi depan agar lebih baik dan manfaat
Lanjutkan bang mewakili edukasinya,bang wakil edukasi
women butuh uang &populeritas 😢,women butuh uang populeritas
aku dukung cheff jijik emang liat konten begituan,aku dukung cheff jijik emang liat konten begitu
"Nah ini dia konten mahal, subscribe🖒",ini dia konten mahal subscribe
"Bwaaang....    Makasih, konten ini sangat bermanfaat  🙏🏽🫰🏽",konten ini sangat manfaat
"Lah wong saya suka kok , terus salah saya dimana kalau liat gambar porn* film porn*",wong saya suka kok terus salah saya mana kalau liat gambar porn film porn
"udh 3 thn ga main tiktok gpunya sosmed selain wa sama yt, berasa jadi manusia langka😅",udh thn main tiktok gpunya sosmed selain sama asa jadi manusia langka
Lebih baik nonton 5 penampakan hantu menyeramkan,baik nonton tampak hantu seram
Bro berbicara fakta,bicara fakta
"Miris sekali, ini yang membuat generasi bangsa rusak.",sekali ini yang buat generasi bangsa rusak
"Siapapun kalian yang baca komen saya, video ini sangat bermanfaat. Buat kalian yang kecanduan konten konten negatif, sebaiknya kalian stop saat ini juga sebelum otak kalian rusak nanti. Kecanduan porno itu merusak otak dan merusak produktifitas.",kalian yang baca komen saya video ini sangat manfaat kalian yang candu konten konten negatif baik kalian stop saat ini juga belum otak kalian rusak nanti porno itu rusak otak dan rusak produktifitas
dari sini bisa di ambil 1 konklusi : orang indonesia terlalu aktif neuron nya ,dari sini bisa ambil konklusi orang indonesia terlalu aktif neuron nya
wkwk intro pertamanya kata”nya wkw😂,wkwk intro pertama kata wkw
"terus terang gw jengah, jijik, dan bosan liat perempuan sekarang, baik  yg tanpa hijab atau yg berhijab keahlian yg di punya cuma joget² gak jelas, bangga vidioin diri nya lagi joget², padahal itu kelakuan bodoh yg gak berkelas",terus terang jengah jijik dan bosan liat perempuan sekarang baik tanpa hijab atau hijab ahli punya cuma joget gak jelas bangga vidioin diri nya lagi joget padahal itu laku bodoh gak kelas
"Nah contohnya Chanel edukasi ini, kenapa konten ini hanya +- 100k viewers😢 
Semangat bangggggg",contoh edukasi ini kenapa konten ini hanya viewers bangg
"Mirisnya sudah merambah menjadi 'budaya' 
Coba lo pad lihat bocil2 sekarang... Sdh jdi ""normalisasi""
Mudah sekali bocil2 menirunya bhkn melakukannya tnpa disaring dulu.. miris😢",sudah rambah jadi budaya pad lihat bocil sekarang jdi normalisasi sekali bocil tiru bhkn laku tnpa saring dulu miris
"Lingkaran setannya seperti berikut 
Cewe rusak joged2 > di tonton cowo lemah > di kasih attention > cwe seneng > cwe ketagihan > buat konten joged2 

Intinya kalo seluruh laki2 tidak lemah dan tidak memeberikan attention/perhatian ke cwe yg buat konten bgtu, gk bakalan banyak konten begituan. Jadi ini gimana diri lu sbg laki2 bisa atau tidak menahan diri dari dopamin murah itu!?",setan seperti ikut rusak joged tonton cowo lemah kasih attention cwe neng cwe tagih buat konten joged kalo seluruh laki tidak lemah dan tidak memeberikan attentionperhatian cwe buat konten bgtu bakal banyak konten begitu ini gimana diri sbg laki bisa atau tidak tahan diri dari dopamin murah itu
Bang tolong bahas cewe yang menyalahgunakan trakteer malah jadi ajang jual diri,tolong bahas cewe yang menyalahgunakan trakteer malah jadi ajang jual diri
bro lupa kalau kita nyari hiburan bukan cari edukasi,bro lupa kalau kita nyari hibur bukan cari edukasi
Makasih udah menyuarakan Bang,udah suara
"Bisa bisa nya tubuhnya di jual di konten ekslusif instagram, mana cuma 70rb murah bener mbak",bisa nya tubuh jual konten ekslusif instagram mana cuma murah bener mbak
setuju king👏,tuju king
"Konten lu mahal banget bang, respect banget gw ama lu. Gw udah muak ama konten atau bahasan yang bentar bentar mesum bentar bentar bentar vulgar. Pertahankan bang 🔥",mahal banget bang respect banget ama udah muak ama konten atau bahas yang bentar bentar mesum bentar bentar bentar vulgar bang
"Intinya SDM rendah, kurang kerjaan mereka mau instan cpet kaya bgaimana pun indo salah stu pengguna medsos tertinggi didunia.🦦",sdm rendah kurang kerja mereka mau instan cpet kaya bgaimana pun indo salah stu guna medsos tinggi dunia
"ya namanya juga entertainment sih mau gimana, pada akhirnya media mementingkan entertainment first dll nomor 2.
jaman sekarang konten yang edukasional tetep harus di dukung sama sesuatu yang entertaining kalo gak, gak bakal laku
orang udah capek capek kerja/sekolah ngabisin waktu luang buat mikir lagi cape juga.. menurut saya wajar wajar aja walaupun gak ideal",nama juga entertainment sih mau gimana pada akhir media penting entertainment first dll nomor jaman sekarang konten yang edukasional tetep harus dukung sama sesuatu yang entertaining kalo gak gak bakal laku orang udah capek capek kerjasekolah ngabisin waktu luang buat mikir lagi cape juga turut saya wajar wajar aja walaupun gak ideal
saya setuju sekali dengan konten yang anda berikan. TOP KELAS!,saya tuju sekali dengan konten yang anda ikan top kelas
we're doomed guys.....,were doomed guys
"Mau buat konten dewasa harus research dulu, fetish yang pengen di jual, open acc di berbagai platform sebnyak mungkin sngt penting 😂",buat konten dewasa harus research dulu fetish yang ken jual open acc bagai platform sebnyak mungkin sngt penting
"Kita hidup di zaman dimana aib dijual dijadikan cuan, maka jangan heran jika generasi mendatang akan makin rusak.",hidup zaman mana aib jual jadi cuan maka jangan heran jika generasi datang akan makin rusak
tetap semangat bang gw support lu,tetap semangat bang support
"Dan sy adalah salah satu korban yang mengidap ini, sakau trus bjirr 👍",adalah salah satu korban yang idap ini sakau trus bjirr
E buset tu es krim campur cubluk anjay,buset krim campur cubluk anjay
"Setuju bgt gw, gw paling JIJIK liat komen2 mesum bahkan di konten2 biasa. Buat laki yg suka komen2 mesum gw cuma mao bilang BEROBAT! OTAK LO TU UDH RUSAK!
Kejadian gadis penjual gorengan di padang tu awal mulanya kaya lo itu yg suka komen2 mesum berlanjut ke taraf yg lebih gila lg.",bgt paling jijik liat komen mesum bahkan konten biasa laki suka komen mesum cuma mao bilang obat otak udh rusak gadis jual goreng padang awal mula kaya itu suka komen mesum lanjut taraf lebih gila
Ngapain lo ngurusin hidup orang lain😂,ngurusin hidup orang lain
"pembahasan yg menarik bang,",bahas tarik bang
Ini semua karna faktor ekonomi dan gaya hidup sih,semua karna faktor ekonomi dan gaya hidup sih
"Gw kemarin"" punya cewe yg hobi nge dance korea gitu nah gua aga ilfeel sebenernya teruma dia berhijab makanya pas udahan pun ada hikmah nya juga mungkin emang dia tertutup tapi ya begitulah ga pantes aja di liat nya",kemarin punya cewe hobi nge dance korea gitu nah gua aga ilfeel sebenernya uma dia hijab makanya pas udahan pun hikmah nya juga mungkin emang dia tutup tapi begitu pantes aja liat nya
Dan mereka berpikir kalau menonton konten konten berbau seksual gak bakal ngaruh ke otak😅,mereka pikir kalau tonton konten konten bau seksual gak bakal ngaruh otak
"sumpah baru kemarin ada nemu konten yang suruh buka sound. lalu pas dibuka sound ternyata ada akun yang memperomosikan 0nlyf4ns nya dia.. dan dia pun postingannya yang bener"" ga pakai busana sama sekali plis. dan dah gitu dia baru posting beberapa foto udah naik followers 23k. baru kemarin juga akunnya saya report karena gamau tiktok jadi kaya twitter pls",sumpah baru kemarin nemu konten yang suruh buka sound lalu pas buka sound nyata akun yang memperomosikan nlyfns nya dia dan dia pun postingannya yang bener pakai busana sama sekali plis dan dah gitu dia baru posting beberapa foto udah naik followers baru kemarin juga akun saya report karena gamau tiktok jadi kaya twitter pls
Gua bencinya wanita..  giliran ada orang cabulin marah.. padahal mereka yang mancing...,benci wanita gilir orang cabulin marah padahal mereka yang mancing
"Bro jaman sekarang kelakuannya sudah diluar batas umur.. anak anak dibawah umur aja udah ada yang berani vc , lama kelamaan otak mereka rusak dan sulit untuk berkembang. Itu semua harus dibenahi oleh orang tua, perlakuan orang tua harus tepat supaya anaknya tidak terlalu sering bermain hp dan berotak negatif. Jaga adik2 kita dari orang orang maksiat.",jaman sekarang laku sudah luar batas umur anak anak bawah umur aja udah yang berani lama lama otak mereka rusak dan sulit untuk kembang semua harus benah oleh orang tua laku orang tua harus tepat supaya anak tidak terlalu sering main dan otak negatif adik kita dari orang orang maksiat
"Alhamdulillah sampe detik ini gpernah install tiktok, karna gua tau tiktok isinya goyang goyang tete doang",sampe detik ini gpernah install tiktok karna gua tau tiktok isi goyang goyang tete doang
Pusing banget gara-gara konten seksual Ada orang yang gambar-gambar 18+ Ada Yang ngeseksualin karakter anime/game Ada Yang bikin iklan seksual bikin mau pergi ke dunia lain apa,banget garagara konten seksual orang yang gambargambar ngeseksualin karakter animegame bikin iklan seksual bikin mau pergi dunia lain apa
"Bang mau nanya, apakah efek kecanduan p0rn sama dengan kecanduan bermain game, N4rk0ba dan judi?",mau nanya apakah efek candu prn sama dengan candu main game nrkba dan judi
Tipu daya setan.,daya setan
Apakah ini contoh hidup. Di stir fyp dan trend.?,ini contoh hidup stir fyp dan trend
HATS OFF FOR THIS GENERATION 🙌🙌🙌🙌,hats off for this generation
Gw subs kamu bg,subs kamu
1:21 linknya bang,linknya bang
kelazzz bangg,kelazz bangg
Keren konten lo bang,konten bang
"semngatt minnn ku dukungg terus , suarakan terus kebenaran",semngatt minn dukungg terus suara terus benar
"orang pintar akan ""memamerkan"" kepintarannya, orang ""bodoh"" gak punya apapun untuk dipamerkan, hanya punya ""aset"" doank, jadi aset lah yang jadi senjata untuk dipamerkan
mungkin seperti itu",orang pintar akan pamer pintar orang bodoh gak punya apa untuk pamer hanya punya aset doank jadi aset lah yang jadi senjata untuk pamer mungkin seperti itu
jaman budak sosmed,jaman budak sosmed
